text;text_g;text_s;y_max;hash
le jaune;das Gelb;- jaune;135;cf885174259ff65b84f1221dc19d6db5
ou alors;oder aber/oder auch;Je voudrais des frites ~ des spaghettis.;157;ced3ae2674172d8751fb9dfda4e209d6
beau/bel/belle;schön;Regarde le chat. C'est un ~1 animal.;180;42bbe7ea96ceac7a60eda06ef59ec8da
rouge;rot;Tu aimes la couleur ~?;203;c6ea9af480ca35cb8ded3cb033937f58
plaire à qn;jdm. gefallen;Non, le jaune me -2 mieux.;227;6d576bdd1da9e5efbd17c6618dbdc2f1
Moi, ça ne me plaît pas. (fam.);Mir (betont) gefällt es nicht. (ugs.);Le rouge? ~;250;fa8925585689a51d6dca29d38ddc74e1
vert/verte;grün;En mai, les arbres sont -3.;295;4b2dc9d9506cbf9269c022c0efab8d4a
agressif/agressive;aggressiv, angriffslustig;;318;2c61d47432731482915aafccd44f0979
un blouson;eine Jacke/ein Blouson;;408;c2f21818188ccd59d9a2470b004c12b5
une chemise;ein Hemd;Ta ~ va bien avec ton blouson et ton pantalon.;431;793d6715adf3bb9a2ea5624732da65c6
ce/cet/cette/ces;diese(r), dieses (Demonstrativbegleiter);Comment est-ce que tu trouves -5 chemise?;476;a01c6c81c0930c831a3eeec63a68228b
un travail/des travaux;eine Arbeit/Arbeiten;"- travailler;";523;d94984d1694bb341a8cbb038095a36a3
Au travail!;An die Arbeit!;;567;de5784c0fcaa1d11cfa95dd8ba99d15d
un modèle;ein Modell;[F] =- èle + + [D] = Modell;591;7ecbea870a07d389b13dc5629732fee9
du matin au soir;von morgens bis abends;Ils travaillent ~.;613;433e37644bedce64b0df57cc21a3a608
avoir le temps de faire qe;(die) Zeit haben etw. zu tun;Tu -6 regarder la télé ce soir?;638;c05d4cb5f8e381d9022431c0981c9d93
«La Mode»;hier: Name eines Restaurants;;681;8f3debb6b58a45bff98a5ed4cfc2357e
Junior;männl. Vorname;;728;4547f8865b529680d4a06e00c18eca00
un Africain/une Africaine;ein Afrikaner/eine Afrikanerin;;750;cd0ad09b293b7f671dfb042edcff2b85
un employé/une employée;ein Angestellter/eine Angestellte;Junior est un nouvel ~ chez B.A.I.;796;cf90313948f5e398227a29e294249331
peut-être;vielleicht;Elle n'est pas là. Elle est ~ malade.;841;5a1b1cf58b12cdd69e00ed03eeb88f59
trouver qe beau;etw. schon finden;Regarde cette voiture. Je ~7 belle.;910;41e7ae77f5cc3d84b84ab927fb330393
original/originale;originell, neuartig;[F] = ------ al + + [D] = originell;934;bf366f08bd6bb1c4d98196dd5e662514
une mode-choc (fam.);eine Supermode (ugs.);;955;90d0dba194598a4dd5e13c36f766c9f6
chic (inv.);schick;"[F = chic + -+ [D] = schick; des vêtements ~8";978;e5002ef0f0b300a0f22bed53c0305069
une jupe;ein Rock;;1091;eeba6302f0dca6af73cf5e2420e81ac8
blanc/blanche;weiß;;1114;de237c42f8a1d8ee0350addecb63f0d4
gris/grise;grau;;1136;9f24165895d0074c5ba63a0e2b32ec76
bleu/bleue;blau;;1159;7c45eda17014ff47885f6d558d4bb98d
violet/violette;violett;;1183;3ab0dd4b6a05ed8ef1cfe9ec30705eb4
orange (inv.);orange;;137;e044c8e64e5d9507b8a249e2c534315a
marron (inv.);(kastanien)braun;;160;d9f53fef53b94443eb94ac06e420c761
un chemisier;eine Bluse;;183;34db08dab53b7d2821e2603e3aed5dd3
un T-shirt;ein T-Shirt;;205;381b09bd08a311f12134cb0d1770e934
un pull (fam.);ein Pulli (ugs.);;228;969fc24e736436be033bd7e2e7673b02
un sweat (fam.);ein Sweatshirt (ugs.);;251;4ce8e773335896f26ef95abb17c71a9d
le printemps;der Frühling;Enfin, ~ arrive.;366;ad4c3aef42ae77625ce3167558ade06e
au printemps;im Frühling;~, on voit des fleurs partout.;387;fdae3184ecffa23f7ef08ae1a3f86bc9
avant;vor (zeitlich)/vorher;~ les cours, les élèves discutent devant l'école.;408;a5dba937837146b30b7f808472427ea5
une sortie;"ein Ausgang; hier: ein Markteintritt";L'équipe fête la ~ de la collection.;454;8c6dc3f93ab594e2c66a80381009740c
le Centre (Georges-)Pompidou;das Centre Pompidou (Kunst und Kulturzentrum in Paris);;503;bfdb7760890832dc3bd60394cd5152df
triste;traurig;+ gai/gaie;566;535500fa8ed249a3c394dd6da143923d
Clermont-Ferrand;Stadt in der Auvergne;;591;1f66e58a6943ff6879f836846ec926f8
cet été;dieser Sommer/in diesem Sommer;~, je reste à la maison.;614;d1b387b2821c214e1f7c0483883254c4
c'est l'heure de faire qe;es ist Zeit, etw. zu tun;Une heure deja? ~ manger.;661;fe61a2eb33beeaf91525db4a658fbbb4
admirer qn;jdn. bewundern;On ~1 les champions.;683;496367b19b8f9b780263fc655b69cec0
une statue;eine Statue/Skulptur;;705;7da81948702f7199ba2d1a1c9b92ecfc
Niki de Saint-Phalle;frz. Malerin und Bildhauerin, geb. 1930;;728;6f8aaeb2bbe58ed432aa3c39a55bcbc4
courir;laufen/rennen;Un vrai sportif aime ~.;771;c257cd6428c892a9f729124f4fdb588d
j'ai couru;ich bin gelaufen;~ une heure.;794;0308738178c2352b7c725529fbd775bb
bousculer qn;jdn. anrempeln;Je vous ai ~2? Oh, pardon!;817;821bdecc12ff69d7e0185202091f761a
Ce n'est rien.;Das macht nichts.;;839;780414fbeff432690fc968197b817065
ce/cet/cette/ces ... - là;der/die/das ... . da/dort Demonstrativbegleiter);;863;ea4cd550dfc7a9d1cc33202a68626d1f
cette couleur-là;die(se) Farbe da;Je n'aime pas -.;932;0a761a47d67b3c9ffec6efbea4fcc2e7
une pièce;ein Teil/Stück;;956;73247b6df0be8617bd05811760307464
une pièce de tissu;ein Stück Stoff/ ein Flicken;;999;5f9d11e211a1c8de62184589c0be9bcd
la façon;die Art;Je n'aime pas sa ~ de me regarder.;1044;35d1d6658dbdd2ae2851836aeae4816d
un puzzle;ein Puzzle;;1068;3adf0cbbaa32216f42558c440509c6db
la façon puzzle;die Patchworkart;;1091;8dfe01f2417349cdc9f8d64de81790ef
On a imité notre collection! ~!- C'est impossible!;Man hat unsere Kollektion kopiert/nachgemacht!;;1113;cb4d45a41bb0e09f36d4cd038f70a131
j'ai vu;ich habe gesehen;~ nos nouveaux modèles.;1180;f1405b22e7f0418e4d6b9225644d7cee
entendre qc;ctw. hören;Ecoute. - Mais je n'~4 rien!;1204;0b5a42f730ed902413beafecc2735efb
Jamais entendu.;Nie gehört.;;135;36191ab31b2aba2fbeb581e694ded1b5
nos idées plaisent;unsere Ideen gefallen/ kommen gut an;~ parce qu'elles sont bonnes.;158;f32296e4fa5ab9620cb76c706f88552f
voler qe à qn;jdm. etw. stehlen;On lui a ~1 son vélo.;206;825dd162b4436ebca439309f6bf480c3
une catastrophe;eine Katastrophe;;227;6c0ae7f45e928af80d1688c14d202639
accuser qn;jdn. anklagen;Il n'a rien fait. On ne peut pas l' ~,;250;58aadbd25d6ee37586e994285dd4d440
un étranger/une étrangère;ein Ausländer/eine Ausländerin;~ m'a demandé son chemin.;274;32af9e45828b02c9d783973b24c1eb16
un menteur/une menteuse;ein Lügner/eine Lügnerin;Il m'a accusé. Mais c'est ~,;319;d26b24cb1af7421a7cf389cbacb6164d
une jeune fille;ein (junges) Mädchen;;455;b10dcd9b22102c2f4f61416a14a54f4c
il a fait;er hat gemacht/getan;;477;2dbf3fcd9f7161e81c66c8cb7a2842af
un film;ein Film;;501;539963e8f742df19a75064b060ea0cbd
excuser qn;jdn. entschuldigen;;525;0cd7374a8a3698d8cd2938731c999bea
Excuse-moi!/Excusez-moi!;Entschuldige!/Entschuldigen Sie!;;547;c44666b309577773e248628bf095c0e8
grave;schlimm;;592;386a023bd38fab85cb531824bfe9a879
août (m.);August;~ est en été.;728;d86d39365846b765c2aee381c88e9a2d
tous;alle;;750;d62682797365d16eb90d5893ff84bb3f
Chers tous, ...;Ihr Lieben, ... (Anrede im Brief);;775;f6a351524735b82fd2030a3efbdc4d69
retrouver qe;"etw. wiederfinden; hier: die Arbeit in etw. wieder aufnehmen";Après les vacances, on ~2 son travail.;818;fbe74d92144cf9d5179f7eb166d9b04f
une accusation;eine Anklage/Anschuldigung;-+ accuser;885;138fe851f203ed832351f74398e6623f
j'ai fait;ich habe gemacht/getan;~ mes devoirs.;931;d67a2f53e264df185a9fd93fd96a2466
j'ai voulu savoir;ich habe wissen wollen;-- son nom.;955;4e1d32b98efb892212289181f03cd0b4
Cornille;Familienname;;978;fb62b681bc657c03c14886eba0697a9e
la rue d'Aboukir;Straße in Paris (im 2. Bezirk);;998;479acc4112d93bc12d80e597bc84ffc2
j'ai été;ich bin gewesen;~ à Paris.;1045;4e2047ce00ecdb3907d2cfd8dce20ccf
la qualité;die Qualität;;1069;528dfec81afae3df2f5b531f42a005de
de mauvaise qualité;von schlechter Qualität/minderwertig;Elle ne prend jamais de tissus ~.;1091;fb8d09256e018a531cbefc5edffde5a0
être content/contente de faire qc;zufrieden, glücklich sein etw, zu tun;Elle est -> d'être en vacances.;1159;e00fb45938db800774a480c1f0917dee
je n'ai pas pu aller;ich habe nicht fahren können;~ en vacances cet été.;1205;494fba4578b974fec81a12de73dc30e7
juillet (m.);Juli;;137;107b082c0f445341b72f831a3cfc0885
en juillet;im Juli;Les vacances commencent ~.;157;46097ad408f6526131887dfa5874fa0f
vous avez compris;ihr habt verstanden;Maintenant, j'ai tout expliqué. ~?;181;0fbdd066c9a952fbfc980ec31ad19c65
un porte-monnaie/;ein Geldbeutel, Port-;;296;5b1573338e2c066e219a1c22d8b73c0b
des porte-monnaie;monee;;319;84b7f15fe1ebcca2ad283a8151eb32e7
un voleur/une voleuse;ein Dieb/eine Diebin;;365;ae604801230f033221c4e6e9ac17734f
un blouson;ein Anorak;;740;c2f21818188ccd59d9a2470b004c12b5
un chemisier;ein Kniestrumpf/ eine Socke;;786;34db08dab53b7d2821e2603e3aed5dd3
une jupe;ein Schuh;;831;eeba6302f0dca6af73cf5e2420e81ac8
un pantalon;ein Mantel/Mäntel;;854;721636ce732f9d95db8c4b76ed76ed7d
un sweat (fam.);ein Kleid;;899;4ce8e773335896f26ef95abb17c71a9d
un emploi;eine Beschäftigung/Arbeitsstelle;"- un travail; Elle a perdu son ~.";731;40694acee36aa66e4c151183ff0b21cf
un informaticien/ une informaticienne;ein Informatiker/eine Informatikerin;~ travaille sur un ordinateur.;776;e38c48e37299962f3a92d468d54de297
un emploi d'informaticienne Elle cherche ~.;eine Arbeitsstelle als Informatikerin;;821;d9e451901f423ff3cb12092ef3166ae0
sortir (de);"(aus etw.) hinausgehen/ -fahren; ausgehen";+ entrer (dans);866;1904180c0afb8a5ed49fe030c1627f2f
elle est sortie;sie ist hinausgegangen/ hinausgefahren/ausgegangen;Ta mère est là? - Non, ~ avec papa.;911;5baea8bc1d8f66417b5c63ed59633969
sortir avec qn;mit jdm. „gehen“ (eng befreundet sein);Elle ~1 avec un garçon très sympa.;979;2223135a88d259989ff57a7ff4bcf3b8
chaque;jeder/jede/jedes (+No-;Mon père va au marché ~ samedi matin.;1025;1ca4d2b813738419e1edaa06d949e389
partir;losgehen/weggehen/ abfahren/aufbrechen;+ arriver;1069;cf5f1c5c3091f9e3fe3f3cf2e36a0274
tôt;früh (Adverb);Quitter la maison à 6 heures, c'est -.;1114;e1f318fbd1ac2ce7ac666b65cc800a28
tard;spät (Adverb);# tôt;1138;e6dab821425cc94c8b72c15c3070f62b
elle a dit;sie hat gesagt;~ comment elle fait ça.;1159;5452bd358fc358f4a388867a71d68c1b
on est allé(e)s;hier: wir sind gegangen;= nous sommes allé(e)s;1184;ff40d85b117971854044269380b3b325
France Télécom;entspricht der Deutschen Telekom;;1206;34888015574a99b646dedaca6e089a88
comme ça;so/auf diese Weise;;1253;a693a15c8b7f94f35bf65003dfbf0513
venir;kommen;+ aller;132;2108a729ea8429b7d65d35543016d664
revenir;zurückkommen/wiederkommen;A quelle heure est-ce que tu ~1 de l'école demain?;157;b534def269401ae9359e70cd9fd09668
un ingénieur;ein Ingenieur;;206;52b320d42f6aa7efb643dcb8f4a25e10
fatigué/fatiguée;müde;Après le travail, on est -.;227;cd94896a455984b2b4dc517a63a85384
rien de nouveau;nichts Neues;+ quelque chose de nouveau;249;c8b3081de0cb976beee3bf06af60f922
un débutant/une débutante;ein Anfänger/eine Anfängerin;~ a souvent des problèmes avec son travail.;272;d8adefbe2c73eb591e8955c716a553c6
tu penses;hier: natürlich/wie du dir vorstellen kannst;;318;f7736e773a04359c68daf8046b3b33bf
avoir envie de faire qc;Lust haben etw. zu tun;Tu -2 aller au cinéma avec moi?;365;d68d94a6dfa9dfb3d72ef0fa6948154e
il a eu;er hat gehabt;~ des problèmes avec ses parents.;386;21d2c62b96da9414c406d00eeb764e55
retourner;zurück-/umkehren/ wieder hingehen;Après les cours, les élèves ~3 à la maison.;409;f1c70ef37e6cd5512a12940c809241da
200 = deux cents;zweihundert;;455;66740124b6d1f551904d59589016a210
250 = deux cent cinquante;zweihundertfünfzig;;479;6f870e9dee44f82e6c59d60ef425ac19
un kilomètre (km);ein Kilometer;;502;4df55c68b2cf7a65033c37c259e29b7b
le Puy de Dôme;Berg in der Nähe von Clermont-Ferrand (1465 m hoch);;524;22c2e13caf47d254bd1cced3322401b3
le Tour de France;die Tour de France (alljährliches Radrennen;le - +-+ la tour Eiffel;592;ba4bb96a40b3c3e92af17569ee3cced2
Qu'est-ce que tu fais comme sport?;Was für Sport treibst du?;;661;a3b29a95b93e3a037f51cbf7b1ce7fa0
le volley(-ball);das Volleyballspiel;Qu'est-ce que tu fais comme sport? - Je joue au ~.;708;bd280341750f7cc7133076538de9f68a
Hélène;weibl. Vorname;;751;ee7ddd570773c80169efa4d6d3afdbe9
mixte;gemischt;Aujourd'hui, les classes sont ~4.;773;5a5d9823f1483f147a6d075a20e803ab
Tiens, tiens!;Sieh da!/Sieh an!;~! Il est là aussi.;819;44630515d4be767e84e42f189990893f
mentir à qn;jdn. belügen;- un menteur/une menteuse;842;e1d2f4b0d50870b142e4d6ff42606fb5
un joueur/une joueuse;ein Spieler/eine Spielerin;- jouer/un jeu;866;1206618d372f03a7427f8607a90f19f1
Sébastien;männl. Vorname;;911;f25fc0df3406ff89f172dc7c70794835
brun/brune;braun/dunkelhaarig;A Marseille, les gens sont souvent -- 6.;934;70ed9b8575dd10048b799b7852e86b95
un grand brun;ein großer Dunkelhaariger;;956;4f91a1a9d0198b272c2f1fc28fa9ea92
gentil/gentille;nett, freundlich;On aime les gens ~7.;1003;b5474cb21a2aba617a98d21f57920877
être amoureux/amoureuse (de qn);(in jdn.) verliebt sein;Elle rêve d'un garçon. Elle ~8 de ce garçon.;1025;6097eec76db3a63d9be81799a5c6f610
prochain/prochaine;nächster, nächste, nächstes;;1071;8e33df03be309d4d496b4064372319cd
un match;ein Wettkampf/Spiel;;1113;b43ca08a84ba9ba047636e8256a5f37b
le prochain match;das nächste Spiel;;1136;bf1287943aea0282785572f18b79e4c4
un centre d'entraînement;ein Trainingszentrum;Avant les grands matchs, l'équipe va dans ~.;1161;1784268ba95b70ee91ef48eabec2bd62
Ça tombe bien/mal.;Das trifft sich gut./Das kommt ungelegen.;Tu vas à la gare? ~ 1. Moi aussi.;138;be9f31140695465ee1cda442ac90f8e4
la chance;die Chance/Gelegenheit/das Glück;Tu as un cousin français. Tu as de ~.;183;62c940512de4454b75f4fa8d69ff0d95
rater une chance;eine Gelegenheit verpassen;Pourquoi est-ce que tu n'es pas venu? Tu -2.;230;30738bd58228e1df1f0faebd2683226c
la taille;die (Kleider)Größe;Dans une boutique: «Quelle est votre ~, mademoiselle?»;275;dffb953c89b4374d87a24c74abdb333f
un mannequin;ein Mannequin;Pas de collection sans -3,;323;ea37cb7c4ea49c9f9554bdce54dbb7e1
dormir;schlafen;Il a des problèmes. Il ~4 mal.;343;bb3a214d56420541fb345f9f046174b9
donner le bonjour à qn;jdm. Grüße ausrichten/ jdn. grüßen;Il ~5 ses amis.;367;dfb664379fc53ec87280ebcc50d03f98
embrasser qn;jdn. küssen/umarmen;La mère ~6 son enfant.;412;53d941f544966546ca20a906de29997e
1 un résumé;ein Resümee/eine Zusammenfassung;F =- é +-+ [D = Resümee;526;3ab6faac0115bfcbaae8702f92fd6829
une chanson;ein Lied;[F] = une ~ +-+ [D] = ein Chanson;574;e1a09508a6a96449db34fac51933153b
C'est de la part de qui?;Mit wem spreche ich? (am Telefon);;596;6a05317b8b7fa3236378d94a0ee57280
Ne quittez pas.;Bleiben Sie am Apparat. (am Telefon);;642;33bc7fe7429a30da5b9f1978fb423cc8
Je vous le passe.;Ich verbinde Sie mit ihm. (am Telefon);;687;98b609e40fc3c471dbb6c3eb931ccfb7
les renseignements (m.);hier: die (Telefon)Auskunft;;732;08b6f476da003e38bc303ce4393831fc
impressionner qn;jdn. beeindrucken;Il joue bien. Son jeu m' ~- 7.;868;bef97d38c07aef79d34c7d18f8c6e3cd
le terrain;hier: das Spielfeld;Les joueurs arrivent sur ~ et le match commence.;889;13c4f273f70bf7d94f80cd079ab5e392
leur;ihnen (indirektes Objektpronomen);Le professeur ~ rend leurs devoirs.;934;5b3ed464ebf37a2ec0b39c3ab288b5c4
Bonne chance!;Viel Glück!;Je cherche un appartement. - ~;980;5f3eec2ffba627503983c637e4ac455e
un service;hier: eine Angabe/ein Aufschlag (beim Sport);;1001;c68748aade29a9fcb7c3d59f0831542d
fort/forte;stark, kraftvoll;Son copain est grand et ~-.;1071;f6a46f0930084ae4268c9b64a01efea0
une passe;ein Zuspiel/Pass;[F] = une ~ + -+ [D] = ein Pass;1094;9714a5221176cd60b8218169efe849fd
précis/précise  Pour bien écrire, cherchez les mots -.;genau;;1118;255e75ee8660e39c3d49036cc9ec8d10
le filet;das Netz;Il joue souvent au ~.;1139;3f6f0bd1a2fad76c5c7e737ab7943dc9
un point;ein Punkt;;1161;d18fde25649b01c44ef010b20b75a1ec
marquer un point;einen Punkt erzielen;Elle est contente. Elle a ~8.;1186;acaff6761ec1a15256caf2453d272717
envoyer qc à qn;jdm. etw. schicken/ hier: zuwerfen/zuspielen;Il m'a ~1 une carte de Brest.;141;fb384553826f5d40446ea9961616982e
sauter;springen;Tu n'as pas peur? Alors, ~ 2.;208;a44a938c089c52b3897394ef3d670eb3
Hop!;Hopp!;;230;b142aff434d4bdd38d954eff05295b9b
lui;ihm/ihr (indirektes Objektpronomen);Il ~ écrit qu'il l'aime.;253;55681f25f2b5ce8a670140d1dff04da5
Sébas;Kurzform für „Sébastien“;;298;3ecd6bb93fd96afbaed9d97889b682bf
C'est à Sébastien de faire le service.;Sébastien hat (die) Angabe.;;345;4d14af1c48893ff56b93d8e43a65e2fa
taper;schlagen;-P- ++ frapper;389;93416a45336a1b3b5beb9d53f86426f7
dire à qn que ...;jdm, sagen, dass ...;;413;461e58a71d197e3c3902ddc60b0c9461
continuer;fortfahren/weitermacher;Un élève lit. Puis, un autre -3.;438;43e72bd4870dfc80592fb7d3d7ea0c99
La chance a tourné.;Das Glück hat sich gewendet.;;504;acd9d57177694540e37a6063e78ccbfa
à la fin;am Ende/schließlich;Elle a cherché et elle a trouvé -.;548;d0e2ab6a0cdf7a0cdab1a82cbfbdf97e
gagner qe;etw. gewinnen;L'équipe du collège veut - le match.;574;fb9b48e9379aa50503e1a213bed205ea
Il va vite retrouver Nathalie.;Er geht schnell zu Nathalie.;;596;bab3636d8ba15cccaa7c75e7967ad121
si;ob;;641;ac5585d98646d255299c359140537783
demander à qn si ...;jdn. fragen, ob ...;Elle lui~5 s'il peut venir,;664;b853c13fecd4c133b3f306b4a1c89c80
demander pardon à qn;jdn. um Verzeihung/ Entschuldigung bitten;Je n'ai pas été gentil avec toi. Je ~6.;688;de98c876ca424f8f958545f36ed2476e
peut-être;vielleicht;Elle n'est pas là. Elle est - malade.;754;5a1b1cf58b12cdd69e00ed03eeb88f59
la 3ª = la troisième;"Klassenbezeichnung; entspricht dem 9. Schuljahr";Il a 15 ans. Il est en ~7.;868;7a8217cc2ed673e3ef57690417bff5a2
un œil/des yeux;ein Auge/Augen;Ferme un ~.;938;c085726832bb53a2016e857912c87904
aux yeux verts;mit grünen Augen;C'est une fille ~.;984;585868d208a9730a4f6daf31fa9ff382
être fou/folle de qn;verrückt nach jdm. sein;Les jeunes ~8 cette vedette.;1004;f10ac898cd96d685eb9edad264d0580a
un cheveu/des cheveux;ein Haar/Haare;Il n'a plus de ~9 sur la tête.;1027;37318bc713003fd91dd01a16d689135d
court/courte;kur;Il aime les cheveux ~10.;1074;3ee5c3ecddf6e8b47aab317152f7a306
long/longue;lang;+ court/courte;1096;7cdc4cf7feba39a2cde035e8ef09a137
avoir les cheveux courts;kurze Haare haben;[F = ~ les ~ + + [D] = kurze Haare haben;1119;c7d742ceb73f8578a0084a6dac96ba9b
avoir les yeux bruns;braune Augen haben;Elle ~11,;1164;422c808cb022629d943bb287a066985e
moche (fam.);hässlich (ugs.);* joli;138;42f8b3fcc28af1d637e546fdc04cca06
Il est bête comme ses pieds.;Er ist strohdumm. (ugs.);;160;9822751db890f3f25569809ce9998ce9
méchant/méchante;böse, gemein;+ gentil/gentille;205;ccc743fac6526bff71ab8796f870135f
intelligent/intelligente;intelligent;# bête;229;eb384ae94b349a91d9fcb573d5716fb8
ennuyeux/ennuyeuse;langweilig;Regarder toujours la télé, c'est ~,;252;3ec415684b539fef4228fab56627e204
paresseux/paresseuse;faul;Il ne travaille pas. Il est -.;298;a57e339dc69fc2c7734a137a3bc5980d
roux/rousse;rothaarig;;434;df08cf23ce3d006ba2a97d6fab2be00e
* le caractère;;der Charakter;384;3f26dfb82d34474b488a59f45abe1ff3
Il/Elle est ...;;Er/Sie ist ...;418;857d592997562f1b8b5c59eacad336e2
amusant(e);aggressiv;lustig;440;af3d2d8c9f532f58a5c059ef8f762b4f
drôle;dumm;lustig, ulkig;463;2c3c12ab2a7d08813a7b326b1e5af183
gentil/gentille;seltsam, komisch;nett, freundlich;488;b5474cb21a2aba617a98d21f57920877
intelligent(e);langweilig;intelligent;510;fe3c4604f23f033e09299c71d8ee5d5f
intéressant(e);idiotisch;interessant;531;61a32ab1bb801a043f7d8947bf2d9491
sympa(thique);böse, gemein;sympathisch;556;87a89fbae61fb8cde327878a5d956025
Il/Elle est ...;;Er/Sie ist ...;634;857d592997562f1b8b5c59eacad336e2
grand(e);schön;groß;659;d86c32a05dcf6b746bca3c36b79a0c50
petit(e);hübsch;klein;682;ffa8c56bbfac4821de27ab01297da8a9
mince;hässlich;dünn, schlank;703;052208dbc5f3d3154896df88e2572aaa
gros/grosse;hässlich (ugs.);dick;727;5ff7d6fe0e6682ce802b8686e78c5bd9
Il/Elle a ...;;Er/Sie hat ...;760;3b9cdcd1e56ee982d64f8c8695bec46f
courts;;kurze;805;f1b80f8b9eba6782c67c99ae526d4f96
longs;;lange;826;66937502b013d1ab8be75e27d2ed1022
blonds;Er/Sie hat blaue Augen.;blonde;848;584da814f5a7f5a34e33ea176e2058fc
bruns;;braune;871;8bac44d0f59a3a1eb88a1c3719b7974e
noirs;Er/Sie ist ein(e) kleine(r) Blonde(r).;schwarze;894;4d957bcb3b5171c0b6f2e4c4672b40ec
roux;;rote;917;3bb524dca2b466baa5a336772d79af65
gris;Er/Sie trägt eine Brille.;graue;941;4d9ad661c53222023932665b4a2a4f6d
Sorel;Familienname;;580;5092e256fe428dc078f58ec7aea3c76f
octobre (m.);Oktober;~ est en automne.;601;b2723efa09eb332da29b3169e6c1b389
ce dimanche 26 octobre;an diesem Sonntag, dem 26. Oktober;;624;8c4c0e2504bbc849a14ab55f7fbe83ea
un/une locataire;ein Mieter/eine Mieterin;+ un/une propriétaire;671;b79f7f3cd7ee0b0592c919eb999f5251
que;den/die/das (Relativpronomen, Objekt);Le chien est un animal ~ j'aime.;714;8cfbcfcd27c86a9ca3648bb0386c654b
connaître qn/qc;jdn./etw. kennen;Il -1 bien son texte.;763;76fb8dab2f5ebea2492fe4e4740d7774
Antoine;männl. Vorname;;782;ea71829d9d7a2be76b5c583749a81a9d
terrible;schrecklich/fürchterlich;La faim peut être ~.;806;b45534447658bd7ca14e13505ad087e2
Ludovic;männl, Vorname;;829;95b4f835054c86d1e932c7d24fddbf8c
Ludo;"Kurzform für „Ludovic""";;851;1ce10bca31c75022bb762faf9e0d5733
qui;der/die/das (Relativpronomen, Subjekt);Voilà un livre ~ me plaît.;898;9d24420082d450cb81caf59e2b173279
louer qe;etw. mieten/vermieten;+ le locataire;942;59df28d5f07a5035fefb837c76cf3b95
un étudiant/une étudiante;ein Student/eine Studentin;;964;4668cc343965996fa2b4629cf5980de0
les études (f ., pl.);das Studium;- un étudiant/une étudiante;1011;cdd9abe89b685528943c6552d9aab13f
faire des études;studieren;Elle veut ~ de français à Rennes.;1033;ff46fbb6fee673ae286776592b5e6301
Dresde;Dresden;;1056;b85ef93751201014ed99a42b570d42ad
une fille;eine Tochter;Hélène est la ~ de M. et Mme Sorel.;1079;c7829a07c0a25fbf39b8f9a9a7b6858b
aller chercher qn;jdn. (ab)holen;La mère -2 sa petite fille à l'école.;1124;8628b162c8cd18c5ecba1d2562eab9fd
