text;text_g;text_s;y_max;hash
un numéro exceptionnel;eine Sondernummer/ Sonderausgabe;F = un -- m --- +mer;575;4e02dd015a5781dba05c3068d92b280a
pendant que;während;Tu peux faire les courses ~ je prépare le repas.;620;4b69897de993421617e1c9e3cd9face5
un appel;ein Aufruf/(telefonischer) Anruf;-+ appeler;665;9f540156a48ce9ceb41facd4e155beb3
une star;ein Star;[F] = une ~ +-+ [D] = ein Star;709;0d5a2ec8016164be9c708677ce707dda
il est né/elle est née;er/sie ist geboren;;731;94fb7b1fa056dd983180d6a628f3d487
en 1966 (= dix-neuf cent soixante-six);(im Jahre) 1966;Gilles Floret est né -.;755;ecb9c499fbd57071b59df038b5717a3f
Il est né le 26 janvier.;Er ist/wurde am 26. Januar geboren.;[F = ~ le ~ ++ [D] = ~ am ~;799;212f20ff303cc9b76963c46625581969
Courpière;kleines Dorf in der Auvergne;;845;7ceb74ae7fab02ae4ae3cde6fefaf981
un village;ein Dorf;une ville;890;aef18c0e236682415d5ca9c633ae8608
un agriculteur/une agricultri- ~ habite dans un village. ce;ein Landwirt/eine Landwirtin;;915;b7e426cd5780ed5a995eff7d2e7c583f
un paysan/une paysanne;ein Bauer/eine Bauerin;- un agriculteur/une agricultrice;960;4dd02327c9db55560ae2de5601ec7072
exact/exacte;genau, richtig;Il est génial. - C'est -.;982;db676bf12f1e295192364f24323f3221
une époque;eine Epoche/Zeit;;1031;d96481ce2b7d3f42a1fa4b3f8e516e14
la campagne;das Land (im Gegensatz zur Stadt);A ~, il y a des villages.;1050;bf33243aff499e55314efff6308a15ef
de la campagne à la ville;vom Land in die Stadt;;1094;bf2d11caa4ecd4abb293dfd73db60348
un chapitre;ein Kapitel;~ est une partie d'un livre.;1117;bdd745493f55fe7de5deda30f3427a23
le lycée;entspricht der Sek. II/ der Oberstufe des Gymnasiums;Les Français passent trois années au ~,;1140;6f1ed0b02e5125a58b75da3bd10f8843
devenir qe;etw. werden;Il veut ~ ingénieur, comme son père.;1209;1e5e62caa639d8df772f17592550c4f5
Anne;weibl. Vorname;;1233;19fdf51d7001bd6430bc30fcaaa570c5
Comment était l'ambiance?;Wie war die Stimmung?;;139;2fb19f82aa41b3088ac2909db4c3c877
Est-ce que vous aviez des profs sympa?;Hattet ihr sympathische Lehrer?;;162;5f519a140ed9b1484d1a5a7ccfff84c4
sérieux/sérieuse;"gewissenhaft, seriös; hier: fleißig";Il travaille. C'est un élève ~.;206;e1544dced7bc6100f43df7fc846a2591
Je n'étais pas très sérieux.;hier: Ich war nicht sehr fleißig./ Ich habe es nicht sehr ernst genommen.;;252;092472de243d5d1679214b325c1bfcee
la moyenne;der Durchschnitt;Je dors huit heures en ~1.;345;1b8c5e121a8ba8f4acc87abf7c2813b0
avoir la moyenne;ausreichend stehen/haben (als Note);;366;f9084f0f9491e857009d6dea982533b8
je travaillais;ich arbeitete;;412;b340c579b41616bfe3cb753169a919b5
une matière;ein (Schul)Fach;L'allemand est ~,;434;20dc4065da22f56f93c8195788074463
une note;eine Note;;459;00524be35464b34d78afd96db646395d
Qu'est-ce qui ... ?;Was ... ? (Fragepronomen, Sachsubjekt);~ te plaît ici? - Rien.;481;faffe80bcee416d25d20f5ea9bbbc1bb
Qu'est-ce qui t'a donné envie de faire de la musique?;Was hat dich darauf gebracht, Musik zu machen?;;527;49513d26f18265a5ba71fdb5a7f7af5e
chanter;singen;" un chanteur/une chanteuse; une chanson";594;ef884f6136a06b4d770ca505bfd047f9
à l'époque;zu dieser/jener Zeit/ damals;à cette époque-là;641;d3ba6511b7786584b5a067c5e2d9a6ee
un rêve;ein Traum;- rêver;684;9c8f172f6278bee74f0d017e4008164a
Vanessa;weibl. Vorname;;707;91273e8cfb21c51c025ce8de2a9231ee
Qui est-ce qui ... ?;Wer ... ? (Fragepronomen, Personensubjekt);qui;732;b1c801bb65150aa4a876b8f837b6dcce
Qui est-ce qui t'a donné ta première chance?;Wer hat dir deine erste Chance gegeben?;;799;8ea4a508be5fc96e4316df3c034bf919
créer qc;etw. erschaffen, hier: bilden;-+ un créateur/une créatrice;846;a45e616270ebd826ff8202ddfda133fd
vendre qc;etw. verkaufen;+ acheter qc;889;4f02eaa955b2dda23abba6c590906c7a
nous-mêmes;wir selbst;Nous faisons tout ~,;912;4b0b1c1a8d15ee004b2f9a47fa20e680
marcher;"gehen/laufen; hier: klappen";Ses études ~2 bien.;934;4821fad439b61317f7073b462587df69
même;sogar;Elle est très intelligente, ~ géniale.;980;cd8c5826c7506a5dcc53ea0bad4eb3a3
un producteur/une productrice;ein Produzent/eine Produzentin;une ------ trice - une auditrice;1003;0ff076a126028dd12ea1adbf0ced76b4
un disque;eine Schallplatte;Son premier ~ a eu beaucoup de succès.;1048;c10a03832dd9916931ac14a792c0b1a3
un poisson;ein Fisch;;1206;9bfa5cecbc69b05986189b9edacb6eda
la date de naissance;das Geburtsdatum;;1230;829f3714fd3f2c52d790e4b282923bbe
une cassette;ein Radiorecorder;eine (Musik)Kassette;501;515fe93653b19d1a66fa5839d428c3b2
un CD/des CD;ein CD-Spieler;eine CD/CDs;524;0f31296dc6f5aed4c8bedea26100dfe6
un disque;ein Plattenspieler;eine (Schall)Platte;547;c10a03832dd9916931ac14a792c0b1a3
une chaîne hi-fi;ein Walkman;eine Hi-Fi-/Stereoanlage;570;b5da72b6f6ea01e5c4646111f97780e4
une videocassette;;eine Videokassette;593;08d03d6dddd024abec0f5b120c02cd11
* un magnétoscope;das Fernsehen;ein Videorecorder;616;395ee4d066385605d25e2345f6c39f7d
* un magnétophone ein Kassettenrecorder;das Radio;;639;ec2823e689cbc4ebcd5441433050e9a5
quelques;einige (wenige)/ein paar (+Nomen);Dans le texte, il y a ~ fautes.;298;f43ceebed15ec14aff32b7583779c52a
en principe;im Prinzip;;343;20db7c5a4e82b661a555a08581e319c8
important/importante;wichtig;Pour une star, le public est très ~.;366;13a88fa5b38f15c1d5c3ae35294cd5ff
quelque chose d'important;etwas Wichtiges;Je vais te raconter ~,;390;1e00b0378b832c1a18dd654b6449fea5
ces derniers temps;in der letzten Zeit;~, j'ai été fatigué.;411;bd60abc9d9eb5eee6967eb9610d934dd
le chômage;die Arbeitslosigkeit;;436;4b804d1fbe7e437179ec4ffec3ff3cef
être au chômage;arbeitslos sein;Il ne travaille pas en ce moment. Il ~1.;458;884112bc5d4c0ab9b654553ed31a3377
Michelin;"frz. Reifenfabrik; in Clermont-Ferrand ansässig";;481;50a845522f8600765b20e9db8f7c78d2
un métier;ein Beruf;Elle est informaticienne. C'est son -.;548;27bcc913f261ac0be1c6549283951e9e
essayer qe;"etw, versuchen; hier: testen";Son métier? ~ les nouveaux modèles de voitures.;572;d254da8b51636a36f54d03040d79e2cf
essayer de faire qc;versuchen etw, zu tun;J'~2 faire l'interprète.;617;015bbe72b7b16c512b13f86b74b11ab0
un pneu/des pneus;ein Reifen/Reifen;Monsieur Forestier essayait des -3.;640;c1e6eac95616cca490684d6afc65bf78
une route;eine (Land)Straße;Entre deux villages, il y a -.;662;89b95252d0bbfd45e727992f428e1f94
un licenciement;eine Entlassung;+ licencier;730;4fb63dc313e0818ff7f7bb74a354f444
le début;der Anfang/Beginn;+ la fin;752;c4e06807ba38feae72ad17df80ea3870
au début (de qc);am Anfang/zu Beginn (von etw.);Janvier est ~ l'année.;778;9fbe0f258ed07f82b6ccd000c9bcdbac
prendre mal qc;etw. schlecht aufnehmen;Mes parents ont ~5 mes mauvaises notes.;823;2a43a7ea9ed72ada017e5d73a31f2656
vivre;leben;- la vie;864;e037b090f08880fe4ed636faf03dca29
vivre qe;"etw. erleben; hier: etw. durchmachen";Elle a ~6 des époques difficiles.;887;57e8782ea44049df712d8709aebe33fe
tout/toute;ganz (+Nomen);~7le problème, ~ 8 la difficulté est là.;936;433a5bac0bbb4170711d695f90950326
tous/toutes;alle (+Nomen);Il connaît ~9 villages et -10 routes d'Auvergne.;958;9e468e5e384066ec87617da624e51ec9
une région;eine Gegend/Region;L'Auvergne est ~ de France.;1002;8084ab443bc97a5797ead782c795b35f
une station thermale;ein Kurort/Badeort;En Auvergne, il y a des ~11.;1025;cc3478b8ac98e52c9db4951f54b10657
plus intelligent;intelligenter;Il n'est pas bête. Mais sa sœur est ~_ 12.;1048;fc94f0a93d8162f5af7dd104b29400fc
Forestier;Familienname;;1071;4cab76d01273cb362f645a2547e72f61
une entreprise;ein Unternehmen/Betrieb/eine Firma;Il a créé ~.;1093;ef7b7094254bfedadd72decd3ef03f6e
un ballon;hier: ein Ballon;;138;88b1ea373beb7bd33197e087af6e9a96
une montgolfière;eine Montgolfiere (Heißluftballon, benannt nach den Erfindern, den Brüdern Montgolfier);~ est une sorte de ballon.;163;3cc53877d6326c94a960d9bf23cb385f
le ciel;der Himmel;~ est bleu ou gris.;277;2c210d593e30ca2a31c400317ca120fd
survoler qc;etw. überfliegen;Le ballon ~1 la campagne.;299;09cfba892fe45ff03c415064d4b2bfe0
un volcan;ein Vulkan;L'Auvergne est une région de -2.;319;a4320c2b6834b7edcf6c717442d0241a
un spectacle;"eine Vorstellung; hier: ein Anblick";"Paris vu de la tour Eiffel; quel ~!";344;e13244aeaf408cbc038012987833a443
excellent/excellente;ausgezeichnet, exzellent;;392;193b963d51e46b07a18a90612101d50e
la publicité;die Werbung;- le public;481;c60cf1275fcca904ac4ef3a164019db9
tout de suite;sofort;Tu viens? - Oui, ~.;528;a6c092c3ad4e772df2bd9fe3f25948ea
passer par là;hier: (gerade) vorbeikommen;;551;f1c8b13879a8b032e2a98bbf7e219531
ranger qc;etw. aufräumen;;664;eca33101f7b3a65fc278e0b9d4e31fdf
une fenêtre;ein Fenster;[F] = une ~ +-+ [D] = ein Fenster;686;342fe0c4e09df0a8f5e8394305f1d106
Elodie;weibl. Vorname;;707;41836e89a72c4bede3540193901f5b35
la danse;der Tanz;F = la ~ +-+ [D] = der Tanz;731;2fa23eb065ea120bf0f826148aba4d2d
un danseur/une danseuse;ein Tänzer/eine Tänzerin;;754;f7ea98251f45b66aef0eed5dee97e4f5
un vol;ein Flug;;801;e89ff832ffd0b6743c7d376eab2495e0
rentrer dans un arbre;gegen einen Baum fahren;;821;fe3fdf185295993b4a0717e386bc122d
la réalité;die Wirklichkeit/Realität;;866;8829e9ceef92fbd941f8b0e39b8f069e
en réalité;in Wirklichkeit;;912;300baf6515bb0f410140bf9bf12fec8f
au-dessus de qc;über/oberhalb von etw.;Le 1er étage est ~6 rez-de-chaussée.;1027;50e27bbec7c7847b578fb20a35e0e9a1
Forestair;hier: Firmenname;;1047;9f869729ddc8b538fbc573121bcef567
l'activité (f.);"die Tätigkeit; hier: der Betrieb";L'entreprise a commencé ses -3.;1071;ffc9cef30608345547c7eab778e165b1
voler;fliegen;- le vol;1117;f3b9de0b61b878188ba42055e0bb3494
plusieurs (inv.);mehrere;Elle a ~ amies.;1140;29dd4ed27314bea592faa3c12c70129e
un/une journaliste;ein Journalist/eine Journalistin;Cette ~ a fait une interview avec M. Forestair.;1162;57712f5c98b3258d6fd9415b45e43539
la nature;die Natur;;141;4d6b6fcc6c7ad8c1682ded31e73c247b
un parc;ein Park;;165;24e515e4360d1617a499b50f8327c196
un pilote;ein Pilot/eine Pilotin;;188;224e6997fa8cd1e3848286b051808f0e
un reporter;ein Reporter/eine Reporterin;;212;4ca48c6948f67877202311d3846d5fd3
un article;ein Artikel;Un reporter écrit des ~1.;254;3f52f406b19a39f2ba82f15d0e333e1e
le temps;die Zeit/das Wetter;;279;802f4b2603a918fe2fc9cf0239cab21b
Il fait un temps magnifique.;Es ist herrliches Wetter.;Quel temps est-ce qu'il fait? - Il fait ~.;303;01a8481fc1313d54afc4b75d05360c23
le volant;das Steuer/Lenkrad;;324;886d4053ec65c9c6a2122e1453812ae4
au volant;am Steuer;Maman aime être ~.;347;c27de36d0b86303d0558e71c4150e591
froid/froide;kalt;Je voudrais de l'eau ~2.;370;83c48ac088daceb7a373d448eec36cb1
J'ai froid.;Mir ist kalt.;Il me faut une couverture. ~,;392;b69a2ffba1b043eabe11c4f950244d3e
chaud/chaude;warm, heiß;+ froid/froide;417;3960078d71480734efeabedaf1927d00
Il fait chaud.;Es ist warm/heiß.;J'enlève mon pull. ~,;438;60df36ad866405fc365971919c584637
neiger;schneien;Il ~3. La route est dangereuse.;462;76230179089015cb01bd22fa10de2dd8
d'habitude;normalerweise;~, il fait chaud en juillet.;484;b82df920bc4657c03f9f75e060fb7556
conduire;fahren;D'habitude, papa ~4 mieux.;507;0a37f7c5fd47c822baa127359af5fb2d
la sauce;die Soße;;529;943b95fc30ce94ac6482dbe6f9e7f683
peu à peu;langsam/allmählich;~, il commence à neiger.;552;add1e1b5dcb6454948baa659f9e96a98
l'altitude (f.);die Höhe (über dem Meeresspiegel);;575;6f2fc7262eb75b8f9234f22f83fdc1ea
prendre de l'altitude;an Höhe gewinnen;Le ballon monte. Il -5.;621;41016a550ad66066a8803bb4d5d03aa1
un nuage;eine Wolke;Dans le ciel, il y a des ~6,;645;3fb363109c0ccfa1795e6e242935b6f0
le soleil;die Sonne;[F] = le - +-+ [D] = die Sonne;666;fecbc833138edde66bf7821afd90a725
briller;scheinen;Le soleil --?.;688;c30d3655f0bdb95a35cabfe9c48d7e5b
Il fait beau (temps).;Es ist schön(es Wetter).;Il y a du soleil. ~.;713;6ca2216decb96792692f0646b2989373
pleuvoir;regnen;;734;9a21b3d3d45620d4d3422b3a489c14a2
Il pleut.;Es regnet.;Restons à la maison. ~;758;b7cffc78d03677d4e49951d531c3788c
le paysage;die Landschaft;En Auvergne, il y a des ~8 magnifiques.;780;e504f1b29bfe657b6d652d44f8d28d49
le relief;das Relief;;803;b22e235e80035dae46f20d7e6da01f7d
une carte en relief;eine Reliefkarte;;823;7b99b47ec111794387334fcfc922ad90
le Puy de Sancy;Berg in der Auvergne (1885 m hoch);;849;300d735008d47ab32df39709d61caaf9
une station de sports d'hiver;ein Wintersportort;;893;dffdeedf6a9fb1035b1343b88b034d82
Super-Besse;Wintersportort in der Auvergne;~ est une station de sports d'hiver.;916;892ef74fca5eb8220a8a616156fac4bb
construire qe;etw. (er)bauen;Un architecte ~9 des maisons.;962;1597eb08861edffc8b0837ac1e0b00c4
un mètre;ein Meter;Mille -10 font un kilomètre.;983;ab5d8e070a1c1dbfd103321f209dad26
à 1350 mètres d'altitude;auf 1350 m Höhe;;1005;591e7b01279cb757f294442b70376f44
un skieur/une skieuse;ein Skifahrer/eine Skifahrerin;;1030;d9b8ff11707c40a1e71ce634ab15321d
détruire qe;etw. zerstören;On veut ~ une partie de la vieille ville.;1074;28059bc14dc1b3c29c2bd33bf95e289f
une montagne;ein Berg;Le Puy de Sancy est ~,;1096;55736f66c9f0100108a811c6f152fefb
à la montagne;in den Bergen;~, il fait très froid en hiver.;1120;56e342f55a5736a119b796898163b208
un parapente;ein Gleitschirm;;1143;7dc81fc23ae76bcf7ff2db54cc5335ff
autour de qc;um etw. herum;Elle a un jardin ~ sa maison.;1165;68ca3c91f06db825b1e6d97f1858ac39
une poule;ein Huhn;* un coq;140;1a925782625e5004a9eb86b641abd676
une poule mouillée (fam.);"ein Angsthase (ugs .;";Il a toujours peur. C'est ~.;163;f2cac7d96438e70c8ba270fb3168c90e
;wörtlich: ein nasses;;186;d41d8cd98f00b204e9800998ecf8427e
Quel temps fait-il?;Wie ist das Wetter?;;298;9ec3958112b395037322e9655eea4a6e
la température;die Temperatur;;320;8d813834b4b8f8ec908bbe3bb39b72c9
un degré;ein Grad;F --- -- > [E] = degree;345;85f9262d9694a371b35b7398b8dd7e1a
Il fait dix degrés.;Es sind zehn Grad.;;366;c30ef7fa636bef4d7ceb891b8ee50079
Il fait moins deux.;Es sind minus zwei;;388;11ebf1c632ebcbd45c9ba1a2a7d3afda
2 le contraire;das Gegenteil;;435;204b61d3f71edc8f98686e37237f9d7d
au contraire;im Gegenteil;;458;f362296b393a0f0ec5d018a12faae899
moderne;modern;;483;2e64f9464506f3f62b02242ffb31b088
le plastique;das Plastik;;504;9dd32b0c0537c6865d4d507c5382b9c1
en plastique;aus Plastik;;528;25ac4600eb5bd2eab4e024a221ca4341
un papier;ein Papier;;551;a0c254e002760b1d2fcdc73d7ddfe4fe
Véronique;weibl. Vorname;;573;70f69c1a24f09c3d5535e36af02a9245
Je vais te raconter;;Ich werde dir einę interessante seltsame lustige;759;77f886e4ffb13f699f82b90a48c4353d
Hier, ...;;Gestern ...;964;a6956809d9dba5c8ff2282f63488f8ac
Un jour, ...;;Eines Tages ...;986;4c6a3f454416132e6720973b5baf6a2c
L'année dernière, ...;;Letztes Jahr ...;1009;03ab7b90613337478f74bda9f221bec2
D'abord/Au début, ...;;Zuerst/Am Anfang ...;1031;b90ae7ec138a5c32192ff160c9ff6d21
Un peu Une minute Un jour;;Etwas;1052;a0500cf8964d41c7375f4842ffdc957a
Puis/Ensuite/Alors, ...;;Dann/Darauf/ Da(mals) ...;1145;752f8368c37ec5c9210546505e5069b8
Tout à coup, ...;;Plötzlich ...;1190;14e58f55d05ffb7b32edb92465214ba8
Enfin, ...;;Schließlich ...;1212;df6b2f7869087fd4790a6e6753693372
le bruit - le silence;der Morgen - der;;772;2e6f0b0efdc63d17a2acdbf87f36144d
le début - la fin;Abend;;790;d365618ce764e2914d65d5d29f507458
le jour - la nuit;die Frage - die Antwort;;814;1843ca5a0e738e2264cb7dafd0ff197f
bon/bonne - mauvais(e);nett - böse, gemein;gut - schlecht;901;91e339bb2a954dc9908e7547a21188e8
bon marché - cher/ chère;;billig - teuer;922;980bceeb897b3d402c4e636806669184
chaud(e) - froid(e);intelligent - dumm;warm - kalt;969;bb9340c7cffbecd633a1b5acadeba4e9
court(e) - long/longue;interessant langweilig;kurz - lang;990;066802446bd870ff7882b909ea4113a8
facile - difficile;;leicht - schwierig;1012;b30e74c6a797b0bebd211eebf1c89e52
gai(e) - triste;jung - alt;fröhlich - traurig;1037;a55dd657ec14572c2a5f61d0ab3cf484
bien - mal;mehr - weniger;;1120;e3fe223c1d4c25a46049c99aa45b4077
beaucoup - peu;früh - spät;;1146;745871354ceb44bb0692fa4bdb311118
à droite - à gauche;auf - unter;;1225;016e4147f822c9562de4d8c2d98bf325
avant - après;für - gegen;;1247;56ea595c7f0c231e2b9e7c5a8ac874b0
Dixier;frz. Name;;610;015d902126008da217a6dd2edb82d268
un ouvrier/une ouvrière;ein Arbeiter/eine Arbeiterin;~ travaille avec ses mains.;633;4cca73f792704fcaf18ed784d190b738
Le Bourgnon;kleines Dorf bei Clermont-Ferrand;;679;a0488d7c3cbf2e50a718b7be71fda341
se trouver;sich befinden;Fontainebleau ~1 à 64 kilomètres de Paris.;723;dfee3c1b4f00adafdfb84a3502b1d2b9
un/une collègue;ein Kollege/eine Kollegin;[F] = ---- ègue + -+ [D] = Kollege;749;22e3a3ba2a1ceaced9b2fa38a502c43f
arrêter qc/qn;etw./jdn. anhalten;La rue est bloquée par un accident. La police -2 les voitures.;793;d2b363afe7c08b727ff67a8d1329b91e
une usine;eine Fabrik;Un ouvrier travaille dans un atelier ou dans -.;835;dde9332df7398aa84be1f363bd0ef2c3
seul/seule;allein;Il a perdu sa femme. Il vit ~.;883;9ae33a1d0b9ff6884f837d2051df5577
les bêtes;hier: das Vich;;994;2eea4b164846ee0ee9000b500119f484
se reposer;sich erholen/ausruhen;Après le travail, on ~3.;1018;fd515c5a2bc1f04ca7911f1d85542040
une ferme;ein Bauernhof/Gehöft;Le paysan a -,;1039;0e76b05be008c8e7df597e782b53c463
de père en fils;von Generation zu Generation;Dans cette famille, on est ingénieur ~.;1064;7bee68707e6cb6083598e0307df03541
Je te laisse.;hier: Ich fahr'/geh' jetzt (mal).;C'est l'heure de partir. -.;1108;8c08af0ddbd5895e4a934f84fdec2088
la neige;der Schnee;- neiger;1156;3cbdc67094854f38686dea6a376a16a8
venir de faire qe;gerade etw. getan haben;Elle est encore là? - Non, elle ~6 partir.;1178;d33d508ffcca0189a7217da140b515fa
annoncer qc;etw. ankündigen;La radio a ~7 du beau temps.;1199;8452747facdb4ca97ee5cfbb9584c338
le vent;der Wind;Ce ~ annonce du mauvais temps.;138;4471741af6ae1c9ef47a77c694d735b3
avoir de la chance de faire qe Tu ~' avoir un emploi. Moi, je suis sans;Glück haben, dass man etw. tut;;164;103cdd62e98a74be2ee40828fb078596
l'argent (m.);das Geld;Payer, c'est donner de -.;209;09d4b459e42d93d3b06020de2b8f9be1
gagner qc;hier: etw. verdienen;Avec une petite ferme, on ne ~2 pas beaucoup.;233;6b0586f249d61754842cfd7ef2f2cc68
Riom;Stadt in der Auvergne, ca. 15 km von Clermont-Ferrand entfernt;;277;ee62f78ca0455541c1e7b1a45359d468
commencer à faire qc;anfangen/beginnen etw. zu tun;Restons à la maison. Il ~3 pleuvoir.;369;7101dda7738828f6bdb60de679afc77e
pendant ce temps;während dieser Zeit/ währenddessen;;483;2f149159de5abad8c3657ddd779be319
dine;zu Abend essen;- le dîner;526;f99031437570e3578164002d9df5218f
Muriel;weibl. Vorname;;551;ff9549ef7eb6d3a4b01cdfb5f849cbef
Maurice;männl. Vorname;;575;397da9fbffdbd3cee1f563c1dd91a984
Florent;männl. Vorname;;596;6de346fcfd5d365185f5273fc40a420d
s'inquiéter;unruhig werden/sich beunruhigen;Les parents ~4 parce que leur enfant ne rentre pas.;619;6e8cc2f7612b8df6dcf746e9fb56df7d
une tempête;ein Sturm/Unwetter;Le vent fort annonce ~.;663;850fd4458cd2675bd8d250cc4db5717e
se coucher;sich hinlegen/schlafen legen;I] ~5 tôt parce qu'il est fatigué.;686;9b8ebc8d3801a96de688a4680eca7053
quand même;trotzdem;J'ai du travail. Mais je viens ~.;733;69fcc92430b48aff2f786b5730f07014
si;wenn/falls;s'il(s) +-+ si elle(s);753;ac5585d98646d255299c359140537783
s'adresser à qn;sich an jdn. wenden;L'automobiliste cherche une rue. Il ~6 un homme qui passe.;778;089e4aed56029a96a8422cf383822c83
la situation;die Situation;;822;a7b238eddf64901a9712c4fac378b606
la circulation;der Verkehr/das Fahren;Dans le centre-ville, ~ est difficile.;843;0f8c4394cab133bb05dfcf8bd79c7463
plein/pleine (de qc);voll (von etw.);A la montagne, les routes sont ~7 virages.;869;be87e517199e704d191092c03ed83928
une route pleine de virages;"eine kurvenreiche Straße; wörtl. : eine StraBe voller Kurven";;915;78620ec873200efd128daf648c189707
lutter;kämpfen;Pour gagner un match, il faut ~.;979;b3ec7189323797af081633b469c34e4a
s'arrêter;anhalten;Il y a un accident. Je ~ 5 pour voir si je peux aider.;1003;5aa74cd85cb97a096a41a018db3db62c
se mettre à faire qc;anfangen etw. zu tun;commencer à faire qc;1049;11bc4e23f1a09531959d212b563190c8
Il se met à avoir très peur.;Er bekommt (allmählich) große Angst.;;1073;1a13b390c87dd655044fd936296ce126
une étable;ein Stall;Pendant la nuit, les bêtes sont à l' ~.;1118;56575f65fb37abc6e7c3ca12c4d4e9bb
réparer qe;etw. reparieren;;1141;40da9816e6c16cbd40d718b07e8d13dd
provisoire;provisorisch/vorläufig;;1164;bc07bff1bc81870e2da2ba8d7a022b02
longtemps;lange;Il a plu ~? - Oui, toute la journée.;1187;2bf350292f5eee8401d68e5e1ea6d831
dépenser qe;etw. ausgeben;+ gagner qc;1210;64a91c91e826fdb35489877ace8d8e96
presque;fast;99, c'est ~ 100.;160;5c8b40e77aac6a96df03cc97946a38e0
au loin;in der Ferne;De la tour Eiffel, on voit Notre-Dame -.;229;bf5413f9586ffcc71bba554e301abe8e
un phare;ein Scheinwerfer;;252;802604e49328f50b07b4f04fc13cc599
avancer vers qc/qn;auf etw./jdn. zugehen/ zukommen;Une voiture ~ 2 nous. C'est la police.;321;03783bb1057ccb27da3b7b8af2c6e641
un chasse-neige/des chasse- A la montagne, en hiver, il faut des -3. neige;ein Schneepflug/ Schneepflüge;;368;67c4b6693e2a4689fef601be2045bca2
l'électricité (f.);die Elektrizität/der Strom;Sans ~4, les phares ne marchent pas.;412;7cfe91bf04c70b230c4c276097594b64
éclairer qc;etw. erleuchten;Les phares ~$ la route.;458;bd34da1c551f5d5de830884cc45b2e70
un mur;eine Mauer/Wand;F = un ~ +-+ [D] = eine Mauer;525;648424f3b3c960be0a36b6513cb918fa
une tuile;ein Dachziegel/eine Dachpfanne;;548;b6ce38a0b3179a5dc50e64beb6a3e78d
Dieu (m.);Gott;Je crois en ~.;594;fec0db28b4eeb000234f074fd1f4acb3
Mon Dieu, ...;Mein Gott/Oh Gott, ...;~, quel terrible spectacle!;616;255145edbec80ce49cb92b51fd02bf03
près de qe;nahe bei/neben etw.;La tour Eiffel est ~ de la Seine.;640;c2f3da3a0a1469eb302db9680d65a75b
découvrir qc;etw. entdecken;- la découverte;663;41b9de70550fb6801a915ad2b29e2174
